Year,Month,Day,Date,PPT. ,Av temp,Tmax,Tmin
2020,6,30,30/06/2020,0,14.75,16.7,12.8
2020,7,1,01/07/2020,3.8,14.3,17.4,11.2
2020,7,2,02/07/2020,2.2,12.8,16.5,9.1
2020,7,3,03/07/2020,6,14,17.4,10.6
2020,7,4,04/07/2020,0.2,15.9,18.7,13.1
2020,7,5,05/07/2020,0.2,15.6,17.3,13.9
2020,7,6,06/07/2020,0.2,15.05,19.6,10.5
2020,7,7,07/07/2020,0,12.3,15,9.6
2020,7,8,08/07/2020,1.8,12.9,17.8,8
2020,7,9,09/07/2020,1.2,13.1,16.9,9.3
2020,7,10,10/07/2020,9.8,12.95,16.9,9
2020,7,11,11/07/2020,0,13.7,18.2,9.2
2020,7,12,12/07/2020,0.6,14,20.5,7.5
2020,7,13,13/07/2020,0,16.5,20.8,12.2
2020,7,14,14/07/2020,0.4,14.3,19.7,8.9
2020,7,15,15/07/2020,1,14.55,17.7,11.4
2020,7,16,16/07/2020,0,18,23.2,12.8
2020,7,17,17/07/2020,3.2,16.85,20.1,13.6
2020,7,18,18/07/2020,0,18.15,20.8,15.5
2020,7,19,19/07/2020,0,13.6,18.6,8.6
2020,7,20,20/07/2020,0,13.15,18.5,7.8
2020,7,21,21/07/2020,0,14.4,20,8.8
2020,7,22,22/07/2020,6,13.65,16.3,11
2020,7,23,23/07/2020,7.4,16.95,19.6,14.3
2020,7,24,24/07/2020,0.6,16.75,21.4,12.1
2020,7,25,25/07/2020,0.2,18.45,22,14.9
2020,7,26,26/07/2020,3.4,15.55,18.5,12.6
2020,7,27,27/07/2020,1.4,16.15,19.1,13.2
2020,7,28,28/07/2020,0,14.45,17.7,11.2
2020,7,29,29/07/2020,2.8,13.75,18.8,8.7
2020,7,30,30/07/2020,0,15.7,21.2,10.2
2020,7,31,31/07/2020,3.2,21.8,30.8,12.8
2020,8,1,01/08/2020,0,18.35,22.5,14.2
2020,8,2,02/08/2020,0.8,16.55,20.4,12.7
2020,8,3,03/08/2020,0.6,14.7,19.2,10.2
2020,8,4,04/08/2020,3.8,13.65,19.2,8.1
2020,8,5,05/08/2020,0,16.2,20.8,11.6
2020,8,6,06/08/2020,0,18.6,23.4,13.8
2020,8,7,07/08/2020,0,20.1,26,14.2
2020,8,8,08/08/2020,0,16.8,21.3,12.3
2020,8,9,09/08/2020,7.2,16.8,20.2,13.4
2020,8,10,10/08/2020,0.4,17.5,20.8,14.2
2020,8,11,11/08/2020,0,20.45,26.9,14
2020,8,12,12/08/2020,0,20.85,25.7,16
2020,8,13,13/08/2020,1.2,15.35,16.1,14.6
2020,8,14,14/08/2020,0.8,15.1,16.3,13.9
2020,8,15,15/08/2020,0,15.2,16.9,13.5
2020,8,16,16/08/2020,18.6,14.55,15.9,13.2
2020,8,17,17/08/2020,0.2,17.05,20.8,13.3
2020,8,18,18/08/2020,5.6,16.5,18.9,14.1
2020,8,19,19/08/2020,4.6,18.15,23.1,13.2
2020,8,20,20/08/2020,2.8,18.25,22.6,13.9
2020,8,21,21/08/2020,0.2,16.9,20.1,13.7
2020,8,22,22/08/2020,1.8,16.55,19.5,13.6
2020,8,23,23/08/2020,14.2,13.9,16.8,11
2020,8,24,24/08/2020,5.4,14.85,18.9,10.8
2020,8,25,25/08/2020,8.8,13.65,17.8,9.5
2020,8,26,26/08/2020,2,14.65,17.1,12.2
2020,8,27,27/08/2020,30.8,13.75,17.2,10.3
2020,8,28,28/08/2020,0.8,12.5,14,11
2020,8,29,29/08/2020,0.2,10.45,12.7,8.2
2020,8,30,30/08/2020,0,11.65,15.5,7.8
2020,8,31,31/08/2020,0,10.85,18.3,3.4
2020,9,1,01/09/2020,0,12.05,19.4,4.7
2020,9,2,02/09/2020,9,13.1,17.5,8.7
2020,9,3,03/09/2020,0,16.1,19.2,13
2020,9,4,04/09/2020,0.6,13.7,17,10.4
2020,9,5,05/09/2020,0.2,12.95,16.6,9.3
2020,9,6,06/09/2020,2.8,13.35,15.7,11
2020,9,7,07/09/2020,0.4,14.65,19.7,9.6
2020,9,8,08/09/2020,0.2,17.7,21,14.4
2020,9,9,09/09/2020,0,14.8,17.8,11.8
2020,9,10,10/09/2020,0,11,16.1,5.9
2020,9,11,11/09/2020,0.6,12.65,15.9,9.4
2020,9,12,12/09/2020,0,13.5,17.1,9.9
2020,9,13,13/09/2020,0,16.65,20.4,12.9
2020,9,14,14/09/2020,0,17.85,24,11.7
2020,9,15,15/09/2020,0.2,19.2,26.4,12
2020,9,16,16/09/2020,0,13.35,14,12.7
2020,9,17,17/09/2020,0.2,13.15,18.7,7.6
2020,9,18,18/09/2020,0,11.55,17.4,5.7
2020,9,19,19/09/2020,1,14.2,18.2,10.2
2020,9,20,20/09/2020,0,13.8,16.3,11.3
2020,9,21,21/09/2020,0,14.1,22.1,6.1
2020,9,22,22/09/2020,10.4,14.2,20,8.4
2020,9,23,23/09/2020,20.2,10.25,11,9.5
2020,9,24,24/09/2020,4.6,7.1,10.1,4.1
2020,9,25,25/09/2020,0,9.85,13.9,5.8
2020,9,26,26/09/2020,0,8.25,11.7,4.8
2020,9,27,27/09/2020,0,9.7,11.4,8
2020,9,28,28/09/2020,2,9.55,17.3,1.8
2020,9,29,29/09/2020,0,11.35,16.9,5.8
2020,9,30,30/09/2020,4.6,10,12.3,7.7
2020,10,1,01/10/2020,0,10.2,14.5,5.9
2020,10,2,02/10/2020,6,7.55,14,1.1
2020,10,3,03/10/2020,26.8,9.05,12.8,5.3
2020,10,4,04/10/2020,1,11.95,15,8.9
2020,10,5,05/10/2020,0.4,12.8,16.9,8.7
2020,10,6,06/10/2020,0,12.35,16.7,8
2020,10,7,07/10/2020,10.2,11.6,14.3,8.9
2020,10,8,08/10/2020,0.4,11.05,14.7,7.4
2020,10,9,09/10/2020,0,9.4,12.3,6.5
2020,10,10,10/10/2020,3,9.85,14.4,5.3
2020,10,11,11/10/2020,1.6,8.75,11.7,5.8
2020,10,12,12/10/2020,8,8.3,9.8,6.8
2020,10,13,13/10/2020,10.2,7.55,10.9,4.2
2020,10,14,14/10/2020,5.8,10.45,13.3,7.6
2020,10,15,15/10/2020,0.8,8.8,12.3,5.3
2020,10,16,16/10/2020,1.4,8.7,12.8,4.6
2020,10,17,17/10/2020,0.8,9.15,11.3,7
2020,10,18,18/10/2020,0.2,7.05,10.2,3.9
2020,10,19,19/10/2020,0.8,9.35,11.8,6.9
2020,10,20,20/10/2020,4.2,12.95,17.1,8.8
2020,10,21,21/10/2020,0.4,12.45,14.7,10.2
2020,10,22,22/10/2020,0,10.8,13.1,8.5
2020,10,23,23/10/2020,0.4,8.6,11.5,5.7
2020,10,24,24/10/2020,5.8,8.5,12.4,4.6
2020,10,25,25/10/2020,0,8.15,12,4.3
2020,10,26,26/10/2020,0,8.8,12.6,5
2020,10,27,27/10/2020,1.6,7.4,9.5,5.3
2020,10,28,28/10/2020,0,8.55,10.3,6.8
2020,10,29,29/10/2020,3.8,10.15,14.9,5.4
2020,10,30,30/10/2020,0.6,10.45,13.4,7.5
2020,10,31,31/10/2020,2.4,8.15,13.6,2.7
2020,11,1,01/11/2020,4.4,11.6,15.6,7.6
2020,11,2,02/11/2020,4.4,9.35,11.4,7.3
2020,11,3,03/11/2020,0,6.5,9.5,3.5
2020,11,4,04/11/2020,0,8.4,12.3,4.5
2020,11,5,05/11/2020,0,12.45,18.5,6.4
2020,11,6,06/11/2020,0,6.05,9,3.1
2020,11,7,07/11/2020,0.2,6.6,9.2,4
2020,11,8,08/11/2020,4,7.8,10.4,5.2
2020,11,9,09/11/2020,0.2,10.05,11.8,8.3
2020,11,10,10/11/2020,0,11.35,12.9,9.8
2020,11,11,11/11/2020,0.8,9.75,11.5,8
2020,11,12,12/11/2020,0.8,9.9,11.3,8.5
2020,11,13,13/11/2020,0.2,9.25,11.2,7.3
2020,11,14,14/11/2020,0.8,9.3,12.9,5.7
2020,11,15,15/11/2020,4.8,9.15,11,7.3
2020,11,16,16/11/2020,0,9.85,13.7,6
2020,11,17,17/11/2020,0,11.7,14.8,8.6
2020,11,18,18/11/2020,1.2,13.45,15.1,11.8
2020,11,19,19/11/2020,0,5.4,7.6,3.2
2020,11,20,20/11/2020,0.2,6.2,12,0.4
2020,11,21,21/11/2020,0.4,7.85,12.1,3.6
2020,11,22,22/11/2020,0,7.1,9.1,5.1
2020,11,23,23/11/2020,0,7.1,11.8,2.4
2020,11,24,24/11/2020,4.6,8.5,13.3,3.7
2020,11,25,25/11/2020,0,7.95,10,5.9
2020,11,26,26/11/2020,0,4.95,8,1.9
2020,11,27,27/11/2020,0,4.8,6.2,3.4
2020,11,28,28/11/2020,1,2.05,6.1,-2
2020,11,29,29/11/2020,0.6,3.45,8.6,-1.7
2020,11,30,30/11/2020,0.4,8.6,12,5.2
2020,12,1,01/12/2020,0,4.8,8.2,1.4
2020,12,2,02/12/2020,0.2,4.95,8.6,1.3
2020,12,3,03/12/2020,12,3.05,3.8,2.3
2020,12,4,04/12/2020,14.4,3.65,6.4,0.9
2020,12,5,05/12/2020,6.4,3.85,6.7,1
2020,12,6,06/12/2020,3.4,0,0,1.2
2020,12,7,07/12/2020,0.2,0,5,0
2020,12,8,08/12/2020,4.8,3.8,5.4,2.2
2020,12,9,09/12/2020,0.2,4.6,5.7,3.5
2020,12,10,10/12/2020,2.6,4.4,6,2.8
2020,12,11,11/12/2020,2.4,5.05,6.6,3.5
2020,12,12,12/12/2020,4.8,6.5,7.1,5.9
2020,12,13,13/12/2020,5.2,6,9,3
2020,12,14,14/12/2020,0.2,6.55,9.6,3.5
2020,12,15,15/12/2020,1.2,5.7,7.8,3.6
2020,12,16,16/12/2020,2.6,5.9,8.1,3.7
2020,12,17,17/12/2020,2.2,7.75,11.6,3.9
2020,12,18,18/12/2020,6.2,8.8,12.5,5.1
2020,12,19,19/12/2020,0.2,9.3,10,8.6
2020,12,20,20/12/2020,4.2,6.25,7.2,5.3
2020,12,21,21/12/2020,1.4,4.85,6.5,3.2
2020,12,22,22/12/2020,3.6,5.15,8,2.3
2020,12,23,23/12/2020,7.8,3.15,5.4,0.9
2020,12,24,24/12/2020,6,1.7,3.6,-0.2
2020,12,25,25/12/2020,0,3.4,7.5,-0.7
2020,12,26,26/12/2020,4.6,3.7,8,-0.6
2020,12,27,27/12/2020,0,3.35,4.7,2
2020,12,28,28/12/2020,0.2,0.85,2.5,-0.8
2020,12,29,29/12/2020,10.8,1.1,4.6,-2.4
2020,12,30,30/12/2020,0,2.1,4.5,-0.3
2020,12,31,31/12/2020,3.8,0.95,4.1,-2.2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
